bench_dirmark,Input_Size,Instrs-klee,Instrs-cfm,Instrs-sm,Instrs-cfm-sm,Time(s)-klee,Time(s)-cfm,Time(s)-sm,Time(s)-cfm-sm,Queries-klee,Queries-cfm,Queries-sm,Queries-cfm-sm,QCexCHits-klee,QCexCHits-cfm,QCexCHits-sm,QCexCHits-cfm-sm,TSolver(%)-klee,TSolver(%)-cfm,TSolver(%)-sm,TSolver(%)-cfm-sm,AvgSolverQuerySize-klee,AvgSolverQuerySize-cfm,AvgSolverQuerySize-sm,AvgSolverQuerySize-cfm-sm,MaxMem(MiB)-klee,MaxMem(MiB)-cfm,MaxMem(MiB)-sm,MaxMem(MiB)-cfm-sm,Explored_Paths-klee,Explored_Paths-cfm,Explored_Paths-sm,Explored_Paths-cfm-sm,Generated_Tests-klee,Generated_Tests-cfm,Generated_Tests-sm,Generated_Tests-cfm-sm,Completed_Paths-klee,Completed_Paths-cfm,Completed_Paths-sm,Completed_Paths-cfm-sm
toupper,10,38887.0,335.0,353.0,355.0,0.1,0.01,0.07,0.0,11.0,0.0,11.0,0.0,39.0,0.0,19.0,0.0,72.57,0.05,98.12,0.25,11.0,0.0,11.0,0.0,0.78,0.8,0.78,0.81,1024,1,11,1,3,1,1,1,1024,1,1,1
toupper,50,19781737.0,1615.0,1713.0,1715.0,60.14,0.0,0.35,0.0,22.0,0.0,51.0,0.0,20.0,0.0,99.0,0.0,17.83,0.32,97.69,0.21,11.0,0.0,11.0,0.0,1609.56,0.8,0.82,0.81,562142,1,51,1,0,1,1,1,0,1,1,1
toupper,100,19817151.0,3215.0,3413.0,3415.0,60.13,0.0,0.72,0.0,22.0,0.0,101.0,0.0,20.0,0.0,199.0,0.0,18.08,0.18,95.2,0.17,11.0,0.0,11.0,0.0,1830.98,0.8,0.86,0.81,562917,1,101,1,0,1,1,1,0,1,1,1
