bench_dirmark,Input_Size,Instrs-klee,Instrs-cfm,Instrs-sm,Instrs-cfm-sm,Time(s)-klee,Time(s)-cfm,Time(s)-sm,Time(s)-cfm-sm,Queries-klee,Queries-cfm,Queries-sm,Queries-cfm-sm,QCexCHits-klee,QCexCHits-cfm,QCexCHits-sm,QCexCHits-cfm-sm,TSolver(%)-klee,TSolver(%)-cfm,TSolver(%)-sm,TSolver(%)-cfm-sm,AvgSolverQuerySize-klee,AvgSolverQuerySize-cfm,AvgSolverQuerySize-sm,AvgSolverQuerySize-cfm-sm,MaxMem(MiB)-klee,MaxMem(MiB)-cfm,MaxMem(MiB)-sm,MaxMem(MiB)-cfm-sm,Explored_Paths-klee,Explored_Paths-cfm,Explored_Paths-sm,Explored_Paths-cfm-sm,Generated_Tests-klee,Generated_Tests-cfm,Generated_Tests-sm,Generated_Tests-cfm-sm,Completed_Paths-klee,Completed_Paths-cfm,Completed_Paths-sm,Completed_Paths-cfm-sm
toupper,10,38887.0,335.0,353.0,355.0,0.2,0.0,0.13,0.0,11.0,0.0,11.0,0.0,39.0,0.0,19.0,0.0,74.41,0.29500000000000004,98.495,0.255,11.0,0.0,11.0,0.0,0.81,0.83,0.81,0.84,1024,1,11,1,3,1,1,1,1024,1,1,1
toupper,50,373724819.0,1615.0,1713.0,1715.0,3601.52,0.0,0.685,0.0,27.0,0.0,51.0,0.0,25.0,0.0,99.0,0.0,14.57,0.24,94.91,0.215,11.0,0.0,11.0,0.0,30246.88,0.83,0.85,0.84,10519844,1,51,1,0,1,1,1,0,1,1,1
toupper,100,365915881.0,3215.0,3413.0,3415.0,3601.65,0.0,1.505,0.0,26.0,0.0,101.0,0.0,24.0,0.0,199.0,0.0,14.3,0.225,87.325,0.17,11.0,0.0,11.0,0.0,33681.11,0.83,0.9,0.84,10293221,1,101,1,0,1,1,1,0,1,1,1
