bench_dirmark,Input_Size,Instrs-klee,Instrs-cfm,Instrs-sm,Instrs-cfm-sm,Time(s)-klee,Time(s)-cfm,Time(s)-sm,Time(s)-cfm-sm,Queries-klee,Queries-cfm,Queries-sm,Queries-cfm-sm,QCexCHits-klee,QCexCHits-cfm,QCexCHits-sm,QCexCHits-cfm-sm,TSolver(%)-klee,TSolver(%)-cfm,TSolver(%)-sm,TSolver(%)-cfm-sm,AvgSolverQuerySize-klee,AvgSolverQuerySize-cfm,AvgSolverQuerySize-sm,AvgSolverQuerySize-cfm-sm,MaxMem(MiB)-klee,MaxMem(MiB)-cfm,MaxMem(MiB)-sm,MaxMem(MiB)-cfm-sm,Explored_Paths-klee,Explored_Paths-cfm,Explored_Paths-sm,Explored_Paths-cfm-sm,Generated_Tests-klee,Generated_Tests-cfm,Generated_Tests-sm,Generated_Tests-cfm-sm,Completed_Paths-klee,Completed_Paths-cfm,Completed_Paths-sm,Completed_Paths-cfm-sm
kruskal,3,NA,NA,25748.0,26095.0,NA,NA,16.335,15.625,NA,NA,483.0,482.0,NA,NA,1328.0,1329.0,NA,NA,98.725,99.02000000000001,NA,NA,358.0,358.0,NA,NA,29.285,29.615000000000002,NA,NA,120,120,NA,NA,5,5,NA,NA,66,66
kruskal,4,NA,NA,282815.0,289366.0,NA,NA,752.825,740.315,NA,NA,9520.0,9519.0,NA,NA,31500.0,31501.0,NA,NA,99.285,99.29,NA,NA,608.0,608.0,NA,NA,70.24,70.56,NA,NA,3240,3240,NA,NA,5,5,NA,NA,1512,1512
kruskal,5,NA,NA,180751.5,185329.5,NA,NA,3606.415,3602.1,NA,NA,6109.0,6121.5,NA,NA,18961.0,18987.5,NA,NA,99.92500000000001,99.93,NA,NA,720.5,722.0,NA,NA,59.855000000000004,60.13,NA,NA,2054,2059,NA,NA,1,1,NA,NA,767,773
