bench_dirmark,Input_Size,Instrs-klee,Instrs-cfm,Instrs-sm,Instrs-cfm-sm,Time(s)-klee,Time(s)-cfm,Time(s)-sm,Time(s)-cfm-sm,Queries-klee,Queries-cfm,Queries-sm,Queries-cfm-sm,QCexCHits-klee,QCexCHits-cfm,QCexCHits-sm,QCexCHits-cfm-sm,TSolver(%)-klee,TSolver(%)-cfm,TSolver(%)-sm,TSolver(%)-cfm-sm,AvgSolverQuerySize-klee,AvgSolverQuerySize-cfm,AvgSolverQuerySize-sm,AvgSolverQuerySize-cfm-sm,MaxMem(MiB)-klee,MaxMem(MiB)-cfm,MaxMem(MiB)-sm,MaxMem(MiB)-cfm-sm,Explored_Paths-klee,Explored_Paths-cfm,Explored_Paths-sm,Explored_Paths-cfm-sm,Generated_Tests-klee,Generated_Tests-cfm,Generated_Tests-sm,Generated_Tests-cfm-sm,Completed_Paths-klee,Completed_Paths-cfm,Completed_Paths-sm,Completed_Paths-cfm-sm
dilation/,4,11940.0,5284.0,2560.0,2564.0,0.47,0.27,0.385,0.305,42.0,28.0,28.0,24.0,56.0,60.0,6.0,16.0,97.23,98.035,97.205,98.285,40.0,14.0,59.0,15.0,0.98,1.01,0.98,1.02,81,16,9,5,5,4,1,1,81,16,1,1
dilation/,5,1685241.0,129815.0,4574.0,4578.0,6.62,0.655,0.8200000000000001,0.555,240.0,52.0,57.0,43.0,143.0,91.0,6.0,25.0,59.59,75.67,95.525,98.06,130.0,15.0,129.0,15.0,14.4,1.03,1.03,1.03,11502,512,19,10,5,4,1,1,11502,512,1,1
dilation/,6,612998688.0,16308164.0,7244.0,7248.0,3600.65,36.06,1.565,0.885,1008.0,84.0,98.0,68.0,1280.0,128.0,4.0,36.0,17.86,12.51,92.09,96.795,161.0,15.0,221.0,16.0,4845.93,206.59,1.1,1.05,3785936,65536,33,17,4,4,1,1,3248060,65536,1,1
