bench_dirmark,Input_Size,Instrs-klee,Instrs-cfm,Instrs-sm,Instrs-cfm-sm,Time(s)-klee,Time(s)-cfm,Time(s)-sm,Time(s)-cfm-sm,Queries-klee,Queries-cfm,Queries-sm,Queries-cfm-sm,QCexCHits-klee,QCexCHits-cfm,QCexCHits-sm,QCexCHits-cfm-sm,TSolver(%)-klee,TSolver(%)-cfm,TSolver(%)-sm,TSolver(%)-cfm-sm,AvgSolverQuerySize-klee,AvgSolverQuerySize-cfm,AvgSolverQuerySize-sm,AvgSolverQuerySize-cfm-sm,MaxMem(MiB)-klee,MaxMem(MiB)-cfm,MaxMem(MiB)-sm,MaxMem(MiB)-cfm-sm,Explored_Paths-klee,Explored_Paths-cfm,Explored_Paths-sm,Explored_Paths-cfm-sm,Generated_Tests-klee,Generated_Tests-cfm,Generated_Tests-sm,Generated_Tests-cfm-sm,Completed_Paths-klee,Completed_Paths-cfm,Completed_Paths-sm,Completed_Paths-cfm-sm
prim,4,4329068.0,1353.0,1246.0,1401.0,20.35,0.08,1.34,0.09,386.0,28.0,69.0,28.0,170.0,40.0,70.0,40.0,48.94,97.17,96.37,97.15,217.0,118.0,899.0,118.0,64.11,1.02,1.1,1.03,53392,1,37,1,5,1,1,1,53392,1,1,1
prim,5,166706906.0,2130.0,2001.0,2210.0,3600.94,0.16,6.74,0.15,6833.0,45.0,121.0,45.0,2152.0,71.0,135.0,71.0,48.12,98.05,97.6,97.84,316.0,228.0,2597.0,228.0,10834.4,1.11,1.4,1.12,3328095,1,69,1,2,1,1,1,300153,1,1,1
prim,6,124065989.0,3085.0,2942.0,3205.0,3600.38,1.76,30.09,1.67,9066.0,66.0,187.0,66.0,5500.0,110.0,220.0,110.0,53.8,99.68,98.36,99.72,288.0,370.0,6039.0,370.0,11536.29,1.25,1.91,1.25,3303722,1,111,1,1,1,1,1,5138,1,1,1
