bench_dirmark,Input_Size,Instrs-klee,Instrs-cfm,Instrs-sm,Instrs-cfm-sm,Time(s)-klee,Time(s)-cfm,Time(s)-sm,Time(s)-cfm-sm,Queries-klee,Queries-cfm,Queries-sm,Queries-cfm-sm,QCexCHits-klee,QCexCHits-cfm,QCexCHits-sm,QCexCHits-cfm-sm,TSolver(%)-klee,TSolver(%)-cfm,TSolver(%)-sm,TSolver(%)-cfm-sm,AvgSolverQuerySize-klee,AvgSolverQuerySize-cfm,AvgSolverQuerySize-sm,AvgSolverQuerySize-cfm-sm,MaxMem(MiB)-klee,MaxMem(MiB)-cfm,MaxMem(MiB)-sm,MaxMem(MiB)-cfm-sm,Explored_Paths-klee,Explored_Paths-cfm,Explored_Paths-sm,Explored_Paths-cfm-sm,Generated_Tests-klee,Generated_Tests-cfm,Generated_Tests-sm,Generated_Tests-cfm-sm,Completed_Paths-klee,Completed_Paths-cfm,Completed_Paths-sm,Completed_Paths-cfm-sm
connected_comp/,3,183907.0,1375.0,1227.0,1429.0,0.11,0.065,0.165,0.065,10.0,12.0,44.0,12.0,89.0,20.0,75.0,20.0,21.57,96.72999999999999,97.33500000000001,96.87,4.0,151.0,145.0,151.0,0.89,0.95,0.93,0.95,512,3,29,3,9,2,1,2,512,3,3,3
connected_comp/,4,41797939.0,2893.0,2570.0,3021.0,77.94,0.12,12.39,0.11,17.0,20.0,118.0,20.0,191.0,35.0,163.0,35.0,7.785,97.575,95.16999999999999,97.49000000000001,4.0,434.0,8964.0,434.0,215.10000000000002,0.97,2.57,0.97,65536,4,71,4,11,2,1,2,65536,4,4,4
connected_comp/,5,479745923.0,5265.0,2583.0,5515.0,3601.54,0.3,4085.715,0.28500000000000003,26.0,30.0,122.0,30.0,24.0,54.0,168.0,54.0,10.91,98.49000000000001,92.38499999999999,98.505,4.0,955.0,1510179.0,955.0,45015.770000000004,1.0,1516.81,1.0,17801063,5,96,5,0,2,1,2,0,5,2,5
