bench_dirmark,Input_Size,Instrs-klee,Instrs-cfm,Instrs-sm,Instrs-cfm-sm,Time(s)-klee,Time(s)-cfm,Time(s)-sm,Time(s)-cfm-sm,Queries-klee,Queries-cfm,Queries-sm,Queries-cfm-sm,QCexCHits-klee,QCexCHits-cfm,QCexCHits-sm,QCexCHits-cfm-sm,TSolver(%)-klee,TSolver(%)-cfm,TSolver(%)-sm,TSolver(%)-cfm-sm,AvgSolverQuerySize-klee,AvgSolverQuerySize-cfm,AvgSolverQuerySize-sm,AvgSolverQuerySize-cfm-sm,MaxMem(MiB)-klee,MaxMem(MiB)-cfm,MaxMem(MiB)-sm,MaxMem(MiB)-cfm-sm,Explored_Paths-klee,Explored_Paths-cfm,Explored_Paths-sm,Explored_Paths-cfm-sm,Generated_Tests-klee,Generated_Tests-cfm,Generated_Tests-sm,Generated_Tests-cfm-sm,Completed_Paths-klee,Completed_Paths-cfm,Completed_Paths-sm,Completed_Paths-cfm-sm
detect_edges/,3,10199.0,4025.0,4093.0,4091.0,5565.31,0.01,6.075,0.01,26.0,2.0,12.0,2.0,24.0,2.0,28.0,2.0,100.0,51.25,99.595,49.89,323.0,8.0,561.0,8.0,1.61,1.42,1.42,1.49,23,2,19,2,0,2,2,2,0,2,2,2
detect_edges/,4,10086.0,11410.0,11643.0,11634.0,3721.98,0.01,24.63,0.01,18.0,2.0,39.0,2.0,16.0,2.0,63.0,2.0,100.0,46.885,99.28,35.974999999999994,281.0,8.0,2820.0,8.0,1.55,1.42,1.53,1.49,16,2,50,2,0,2,2,2,0,2,2,2
detect_edges/,5,10633.0,23481.0,23981.0,23963.0,4553.32,0.01,56.03,0.01,20.0,2.0,84.0,2.0,18.0,2.0,116.0,2.0,100.0,32.055,99.015,25.405,293.0,8.0,6657.0,8.0,1.56,1.42,1.855,1.49,17,2,99,2,0,2,2,2,0,2,2,2
